# Omega_m, sigma_8, w, Omega_b, little_h, n_s, m_nu
0.434241875608935679, 0.659196208513707416, -0.958668146923030928, 0.043974047121381650, 0.711601606448711399, 0.951767280074030109, 0.069323017408123785
0.310063366401177376, 0.854587812933405577, -0.727340133943747080, 0.042344557720224912, 0.733516389383492284, 0.961011702657609490, 0.137318007662835251
0.414014661087732383, 0.573590209941963858, -0.541948623000593765, 0.047687212504591243, 0.687511831585214117, 0.958193749077707047, 0.064038117927337698
0.380672622527712223, 0.673159522522644993, -0.852138870499677292, 0.051903263737103723, 0.653932809583432140, 0.963198583351727367, 0.118024149286498362
0.388820169106504798, 0.784546444262406384, -0.793383223031014051, 0.047507808931701569, 0.682604960964668050, 0.956092522539314760, 0.087343623070674239
0.344659681016168340, 0.751877420669164076, -0.339116013284089024, 0.045940024529574366, 0.699857487206684836, 0.962146882860241082, 0.072306657700067237
0.423495659842401118, 0.539871414066645627, -1.009738080407250882, 0.040100482862897975, 0.745646905406359251, 0.970937550933519189, 0.110276923076923064
0.447289682376876052, 0.635358665508148235, -0.648301274640838754, 0.042841481968579447, 0.726255418300089994, 0.959732820388546015, 0.097479601087941972
0.329397196440425311, 0.667139095716857145, -0.906603145058790361, 0.044411044297188049, 0.707580540237014666, 0.964204616812853521, 0.079116997792494481
0.409575224535538296, 0.625244267764476391, -0.932840759622193150, 0.040952169396699947, 0.738478497215625973, 0.965688557805333136, 0.073896907216494834
0.376531980630602559, 0.553173762692202642, -0.690002578422555968, 0.044032799009445046, 0.713704135430921260, 0.970197819931963301, 0.089674728940783988
0.428664182603643362, 0.789341964465755663, -0.464857992095856210, 0.050885860296519592, 0.663189829441679368, 0.967755283438658576, 0.081024868123587029
0.289864329847264290, 0.848089084684634398, -0.823447814322599281, 0.046834705871355964, 0.689749625271459221, 0.973960364397718936, 0.100392156862745094
0.479394053710507140, 0.419770105293600648, -0.879772835867733360, 0.045296800724899715, 0.701780168175760832, 0.966697584806337717, 0.122320819112628001
0.348609406316666814, 0.658813580010070288, -0.600212987001395359, 0.047727695044864266, 0.685144060057584325, 0.971771614470866019, 0.065282331511839709
0.401078204578720621, 0.708701571498917549, -0.761533695317967108, 0.044600344551095038, 0.709566230993580294, 0.968900865043437531, 0.106772591857000984
0.367976265994719554, 0.819283433591744936, -0.984249396158572987, 0.042001454830610914, 0.729584984338257803, 0.978983065634404848, 0.060574647887323946
0.468416301419941616, 0.605062207017711517, -0.990624379296972446, 0.048764896878128475, 0.675907787029358942, 0.958407299752502162, 0.077744034707158349
0.347557641907538684, 0.626665515818547569, -0.769690789033307232, 0.046267154830990191, 0.695458892799545092, 0.963326197724945765, 0.095403726708074524
0.400215017802729334, 0.756294983423452583, -0.612995187378890805, 0.043256553828031299, 0.720028665019350700, 0.952696334659757005, 0.071158173395102581
0.364629563541703672, 0.717413960511108395, -0.886546914463799740, 0.045155575677465178, 0.703219836114844732, 0.961159893342392491, 0.085673306772908367
0.406339020759726333, 0.598164453873467061, -0.830735662084198134, 0.043685419879847399, 0.715337731692254675, 0.959903630177558420, 0.114994652406417111
0.373375041022751764, 0.693466003101149475, -0.486787201101224531, 0.040615116463990845, 0.743506863178907462, 0.964328616991260490, 0.063135642982971224
0.424755459207236785, 0.679323748045821296, -0.699688738214097272, 0.046866850742680148, 0.691361313304689529, 0.956409088266103158, 0.133234200743494430
0.280003386867099135, 0.912782763111215201, -0.939329407828968121, 0.050042543048997641, 0.667627052332922410, 0.962281992429161570, 0.068266666666666670
0.393893390509011065, 0.746472607150116763, -0.913210587424785114, 0.045618499858160556, 0.697432206807186206, 0.967892688694988124, 0.061971181556195958
0.360003395532825510, 0.911470340727753681, -0.659226883492421978, 0.048864359071469528, 0.679097564387437735, 0.974322093917997289, 0.111189245087900734
0.457662694509763546, 0.530167364649048789, -0.379455482273014066, 0.045682841888111628, 0.705145761146084293, 0.965813063108686531, 0.066907280647168638
0.338229582006991936, 0.703540000312258718, -0.801048618640770926, 0.042634631826447798, 0.722632309101276737, 0.970375638854063860, 0.128152562574493450
0.442018249259595319, 0.772889247994212769, -0.859135675415974243, 0.038938146455934811, 0.755596980645833249, 0.969052976895719786, 0.104287099903006802
0.316777784795899242, 0.812780951436921417, -0.557801248835224195, 0.043862580620968490, 0.717612452825489466, 0.981179323357776689, 0.083543123543123543
0.419826628031182092, 0.615500700179340998, -0.736146664144164520, 0.049789368616711738, 0.672195815303961108, 0.966826468046487197, 0.092769628990509057
0.385776805260423628, 0.540798220965011955, -0.965080410051477489, 0.046012952270446661, 0.693440778611726372, 0.971999755149542621, 0.075985865724381624
0.417461222479908467, 0.829051165619462016, -0.977868646280531162, 0.045219099145950251, 0.706114843390318492, 0.963070266945970643, 0.130643985419198055
0.383741848163720756, 0.751759018365739551, -0.753231226581588809, 0.042351192582130166, 0.724024125145695141, 0.957972201057398554, 0.067580138277812687
0.438778700940710753, 0.613882229958479853, -0.586814206035983998, 0.045066972411629116, 0.698406596171426308, 0.960861328533707537, 0.113059936908517358
0.318450631417743102, 0.627117020072819220, -0.872948732146819895, 0.048522792216648396, 0.680553657633019449, 0.950414017526359678, 0.062547993019197209
0.453215158438009635, 0.676000901591797376, -0.816074571860000764, 0.057372857558716420, 0.626316907584129723, 0.964080346627667617, 0.070412573673870327
0.334880206628939914, 0.878621329521335204, -0.440332645049649973, 0.047093049128319207, 0.685750214520368662, 0.959558124921692679, 0.084594807238394965
0.391861703471340361, 0.523529027064254526, -0.680047310599455446, 0.041676087902436473, 0.730500105765525931, 0.962010494913253633, 0.076854896354538946
