# Omega_m, sigma_8, w, Omega_b, little_h, n_s
0.347718088584312690, 0.608090035584465727, -0.999384860022564880, 0.046936753243635700, 0.687663177755430066, 0.951129505485487026
0.206779616565491459, 0.628986332882504495, -0.780687150881146041, 0.040046106116502875, 0.748340521688956151, 0.953035294422839852
0.322694662379692354, 0.914161634021707581, -0.629693212497548949, 0.042643918003092980, 0.725715947892358049, 0.954235319137644034
0.283572295009480335, 0.848674009046142430, -0.895785970025147815, 0.047122299658690817, 0.688777307947956663, 0.955139762825483074
0.292976210716004659, 0.565419943498677635, -0.840626812532454304, 0.043543086665494002, 0.719062243861274375, 0.955878620675562951
0.253236978104226129, 0.744430433876937747, -0.513727233300480091, 0.042822313560286804, 0.720283133296243827, 0.956510784915613699
0.365017822556089666, 0.774297830646108132, -0.712607668447023945, 0.045979645753833551, 0.697918171679829280, 0.957068203236309922
0.226554065379125008, 1.131756158143424562, -0.948214418560132666, 0.048079397058068692, 0.681527725185153477, 0.957570252269933753
0.317371515025698991, 0.760950526145504069, -0.922241009773023479, 0.046634635777939561, 0.696953346474513458, 0.958029620607910526
0.278825085245547111, 0.932906255711403620, -0.673677730148444343, 0.050932288624559827, 0.660726241090837885, 0.958455097954585944
0.340657882434850845, 0.571182623103519860, -0.423316711276734980, 0.041257908659212472, 0.740156477900898890, 0.958853041970536446
0.192171896412491494, 0.907899812646848492, -0.811420404778662396, 0.050431879460715402, 0.664243522099101091, 0.959228211950765242
0.425544002199423010, 0.729555937344377292, -0.868656649882039167, 0.045315634905849764, 0.705523600675043938, 0.959584272190468046
0.247392457451762249, 0.831057741700256480, -0.578089175890895257, 0.045422790053586334, 0.701726622720990512, 0.959924111048107154
0.307297261693904533, 0.689972023549321301, -0.747963682024614718, 0.042174226084398581, 0.728918142080347553, 0.960250051438108709
0.269082853583064385, 0.608137657942813381, -0.973876704096482082, 0.046342700075998562, 0.694997363182203287, 0.960563994435672308
0.300064811048862401, 0.907119399558848127, -0.961074410801949774, 0.045041006938011038, 0.706481828320170702, 0.960867520093294902
0.261410097955492693, 0.845973143618708900, -0.730664592891456688, 0.049421706504677164, 0.671743012585649502, 0.961161959994253356
0.383912223814758702, 0.648554561975546173, -0.548013444901339408, 0.049323338019084097, 0.675481857919652429, 0.961448450615188799
0.237763744837688362, 0.692555260397213379, -0.854770146658695107, 0.043746793068620032, 0.716736822244569916, 0.961727973341982678
